"Style Number","Alternate Style Number (usually other color)","Catalog Number","Delivery Ex-Works","Delivery Last Update","List Price US$","Insulator Type","Color","Outline Drawing","Download Drawing","Apparatus","Standard","Bushing Type","Oil Indication","Application","Mounting Position","Connection Type","Current Version","Voltage Class","kV BIL","Max kV L-G","Cantilever Design Test Rating Upper Value","Cantilever Design Test Rating Lower Value","Approximate Capacitance C1","Approximate Capacitance C2","Current Rating Draw Lead","Bottom Connected","Oil Circuit Breaker","Lower End Length (L)","C.T. Pocket Transformer","C.T. Pocket Oil Circuit Breaker","Exposable Length Transformer (EL)","Exposable Length Oil Circuit Breaker (EL)","Max. Dia. From 1"" below Flange to Lower End of Bushing (D)","Upper End Length (B)","Minimum Creep","Arcing Distance","Lowest High Voltage (LHV)","Cable Height/Pin Height for AB Bushings (CH)","Maximum Altitude","Approximate Weight","Top End Terminal - Thread Dia and Class or number of Pads and Holes Per Pad","Top End Terminal - Length and Type or Dia, and Type of Holes","Top End Terminal - Thread Plating","Top End Terminal - Top Terminal Comments","Bottom End Terminal - Terminal Type","Bottom End Terminal - Min Outside Diameter","Bottom End Terminal - Bottom Terminal Comments","Max Inside Diameter (P)","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","Epoxy Coated Shield and Terminal Kit","Flange Mounting Comments","Special Features"
"001D0100WG","","","Contact Us","June 1,2012","Contact Us","Porcelain","Brown","","","Transformer","","RJ","","Oil to Oil","vertical/horizontal","Bottom","1.0","1.2 kV","45 kV","0.8 kV","","","pfds.","pfds.","","1000 Amps","","6 in.","","","","","3.062 in.","7.625 in.","2.375 in.","2.375 in.","4.125 in.","","3300 ft.","15 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.000-14UN-2Ax2.375 x","Min Outside Diameter","Bottom Terminal Comments","1.000-14UN-2Ax1.250","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","3.438 in.","Epoxy Coated Shield and Terminal Kit","Gasket Groove in Mtg. Flange. 0.125"" deep",""
"001D0171WA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Brown","","","Transformer","IEEE","RJ","","Oil to Air","horizontal","Bottom","1.0","1.2 kV","45 kV","0.7 kV","","","pfds.","pfds.","","1710 Amps","","6.721 in.","0 in.","","0 in.","","3.25 in.","7.279 in.","2.5 in.","2.5 in.","","","3300 ft.","28 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.500 x 2.75 usable thread x 12 UN - 2A","Min Outside Diameter","Bottom Terminal Comments","1.5 x 2.50 usable thread","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","","Epoxy Coated Shield and Terminal Kit","",""
"002D0171AA","","","Contact Us","June 1,2012","Contact Us","Porcelain","Brown","","","Transformer","IEEE","RJ","","Oil to Air","horizontal","Bottom","2.0","2.5 kV","45 kV","1.6 kV","","","pfds.","pfds.","","1710 Amps","","10.938 in.","","","","","3.09 in.","12.062 in.","6.25 in.","6.25 in.","8.156 in.","","3300 ft.","23 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.50-12x3.0 Usable Thread x 12 UN-2A","Min Outside Diameter","Bottom Terminal Comments","1.5-12x2.938 Usable Thread","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","4.125 in.","Epoxy Coated Shield and Terminal Kit","",""
"002J0500HA","","W01B094BB","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","","IEEE","A","","Oil to Air","vertical/horizontal","","1.0","2.5 kV","45 kV","1.6 kV","","","pfds.","pfds.","","5000 Amps","","12.25 in.","0 in.","","0 in.","","5.031 in.","10.25 in.","6 in.","4 in.","","","10000 ft.","58 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","2 Blades, (6) .688 dia. Holes, SP x 6","Min Outside Diameter","Bottom Terminal Comments","1 BLADE, (3) .688 DIA HOLES, SP","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","5.219 in.","Epoxy Coated Shield and Terminal Kit","(4) 0.625 Holes-8.500 BC",""
"002J1000AD","","1B096BB","Contact Us","Contact Us","Contact Us","Porcelain","Gray","","","Transformer","IEEE","A","","Oil to Air","vertical/horizontal","Bottom","1.0","2.5 kV","45 kV","1.6 kV","","","pfds.","pfds.","","10000 Amps","","11.25 in.","","","","","8.047 in.","10.297 in.","5.875 in.","3.859 in.","5.547 in.","","10000 ft.","112 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Bld-4 w/ 8-0.688Holes, 1.750 x 1.750 In, Silver-plated x","Min Outside Diameter","Bottom Terminal Comments","Blade-2 w/ 4-0.688 Holes 1.750x2.25 In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","8.312 in.","Epoxy Coated Shield and Terminal Kit","",""
"002J1000BA","","W01B557BB","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","A","","Oil to Air","0 to 20 deg. from vertical","Bottom","2.0","2.5 kV","45 kV","1.6 kV","","","pfds.","pfds.","","10000 Amps","","23.078 in.","","","18 in.","","8.047 in.","10.297 in.","5.875 in.","3.859 in.","5.547 in.","","10000 ft.","130 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","(4)bld (4).562 hole/bld, SP x 4","Min Outside Diameter","Bottom Terminal Comments","(4).688 hole (2) blade","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","8.312 in.","Epoxy Coated Shield and Terminal Kit","(4) .625 Dia. Holes - 11.500 Dia. BC",""
"002J1000CA","","1B552BB","Contact Us","Contact Us","Contact Us","Porcelain","Gray","","","Transformer","IEEE","A","","Oil to Air","vertical","Bottom","1.0","2.5 kV","45 kV","1.6 kV","","","pfds.","pfds.","","10000 Amps","","23.078 in.","","","18 in.","","8.047 in.","10.297 in.","5.875 in.","3.859 in.","5.547 in.","","10000 ft.","139 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Bld-4 w/ 8-0.688Holes, 1.750 x 1.750 In, Tin-plated x","Min Outside Diameter","Bottom Terminal Comments","Blade-2 w/ 4-0.688 Holes 1.750x2.25 In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","8.312 in.","Epoxy Coated Shield and Terminal Kit","",""
"005B0030WU","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","8.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","300 Amps","","6.625 in.","","","","","2.563 in.","7.875 in.","5.25 in.","4.188 in.","5.813 in.","","10000 ft.","6 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","Thrd-0.5 OD - 13 x 1.125 In x 13un-2a","Min Outside Diameter","Bottom Terminal Comments","Thrd-0.5 OD - 13 x 1.422, In","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","2.938 in.","Epoxy Coated Shield and Terminal Kit","(4) .438 dia holes, 4.75 dia. BC",""
"005B0100AD","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","1.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","1000 Amps","","9.406 in.","","","5 in.","","3.605 in.","10.562 in.","7.125 in.","4.5 in.","6.703 in.","","10000 ft.","21 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.500-12x2.375 x","Min Outside Diameter","Bottom Terminal Comments","1.0-14 X 1.375 USABLE","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","3.906 in.","Epoxy Coated Shield and Terminal Kit","(6) .562 Dia. Holes on 7.000 Dia. BC",""
"005B0100VB","","","Contact Us","June 1,2012","Contact Us","Porcelain","Gray","","","Transformer","IEEE","RJ","","Oil to Air","vertical/horizontal","Bottom","3.0","5 kV","75 kV","3.2 kV","","","pfds.","pfds.","","1000 Amps","","6.5 in.","","","3.25 in.","","3.063 in.","9.546 in.","5.125 in.","4.156 in.","5.906 in.","","10000 ft.","11 lbs.","Length and Type or Dia, and Type of Holes","Thread Plating","Top Terminal Comments","1.0-14x2.375 x 14un-2a","Min Outside Diameter","Bottom Terminal Comments","1.0-14x1.219","Min Outside Diameter (Q)","Number of Holes","Hole/Slot Size","Bolt Circle Diameter","3.438 in.","Epoxy Coated Shield and Terminal Kit","(4) 0.438 holes, 5.25 dia BC",""
