Timestamp,Index,Error_Type,Error_Message,Details
2026-02-10 21:23:07,24,NO_DATA,All fields empty after parsing,Page loaded but no bushing data extracted
2026-02-10 21:23:38,47,NO_DATA,All fields empty after parsing,Page loaded but no bushing data extracted
2026-02-10 21:23:59,63,NO_DATA,All fields empty after parsing,Page loaded but no bushing data extracted
2026-02-10 21:24:04,67,NO_DATA,All fields empty after parsing,Page loaded but no bushing data extracted
2026-02-10 21:24:09,71,NO_DATA,All fields empty after parsing,Page loaded but no bushing data extracted
2026-02-10 21:24:12,73,NO_DATA,All fields empty after parsing,Page loaded but no bushing data extracted
2026-02-10 21:24:14,74,NO_DATA,All fields empty after parsing,Page loaded but no bushing data extracted
2026-02-10 21:24:17,76,NO_DATA,All fields empty after parsing,Page loaded but no bushing data extracted
2026-02-10 21:24:23,81,NO_DATA,All fields empty after parsing,Page loaded but no bushing data extracted
2026-02-10 21:24:38,93,NO_DATA,All fields empty after parsing,Page loaded but no bushing data extracted
2026-02-10 21:24:41,95,NO_DATA,All fields empty after parsing,Page loaded but no bushing data extracted
